Datum a čas,Stav [cm],Průtok [m3s-1],Teplota [°C]
02.10.2024 07:00,41,0.478,14.6
02.10.2024 06:50,41,0.478,14.6
02.10.2024 06:40,41,0.478,14.6
02.10.2024 06:30,41,0.478,14.6
02.10.2024 06:20,41,0.478,14.6
02.10.2024 06:10,41,0.478,14.7
02.10.2024 06:00,41,0.478,14.7
02.10.2024 05:00,41,0.478,14.7
02.10.2024 04:00,41,0.478,14.7
02.10.2024 03:00,41,0.478,14.7
02.10.2024 02:00,41,0.478,14.7
02.10.2024 01:00,41,0.478,14.7
02.10.2024 00:00,41,0.478,14.7
01.10.2024 23:00,41,0.478,14.7
01.10.2024 22:00,41,0.478,14.8
01.10.2024 21:00,40,0.435,14.8
01.10.2024 20:00,41,0.478,14.9
01.10.2024 19:00,40,0.435,14.9
01.10.2024 18:00,40,0.435,15
01.10.2024 17:00,41,0.478,15.1
01.10.2024 16:00,41,0.478,15.1
01.10.2024 15:00,41,0.478,15.1
01.10.2024 14:00,41,0.478,15
01.10.2024 13:00,40,0.435,14.9
01.10.2024 12:00,40,0.435,14.8
01.10.2024 11:00,41,0.478,14.7
01.10.2024 10:00,41,0.478,14.6
01.10.2024 09:00,41,0.478,14.6
01.10.2024 08:00,41,0.478,14.6
01.10.2024 07:00,41,0.478,14.6
