Datum a čas,Stav [cm],Průtok [m3s-1],Teplota [°C]
25.10.2024 07:00,26,0.0964,12.4
25.10.2024 06:50,26,0.0964,12.4
25.10.2024 06:40,26,0.0964,12.4
25.10.2024 06:30,26,0.0964,12.4
25.10.2024 06:20,26,0.0964,12.4
25.10.2024 06:10,26,0.0964,12.4
25.10.2024 06:00,26,0.0964,12.4
25.10.2024 05:00,26,0.0964,12.4
25.10.2024 04:00,26,0.0964,12.5
25.10.2024 03:00,26,0.0964,12.5
25.10.2024 02:00,26,0.0964,12.6
25.10.2024 01:00,26,0.0964,12.6
25.10.2024 00:00,26,0.0964,12.7
24.10.2024 23:00,26,0.0964,12.8
24.10.2024 22:00,26,0.0964,12.8
24.10.2024 21:00,26,0.0964,12.9
24.10.2024 20:00,26,0.0964,12.9
24.10.2024 19:00,26,0.0964,13
24.10.2024 18:00,26,0.0964,13.1
24.10.2024 17:00,26,0.0964,13.1
24.10.2024 16:00,26,0.0964,13.1
24.10.2024 15:00,26,0.0964,13.1
24.10.2024 14:00,26,0.0964,13
24.10.2024 13:00,26,0.0964,12.8
24.10.2024 12:00,26,0.0964,12.7
24.10.2024 11:00,26,0.0964,12.6
24.10.2024 10:00,26,0.0964,12.5
24.10.2024 09:00,26,0.0964,12.5
24.10.2024 08:00,26,0.0964,12.6
24.10.2024 07:00,26,0.0964,12.6
