Datum a čas,Stav [cm],Průtok [m3s-1],Teplota [°C]
26.01.2025 06:00,37,0.331,3.4
26.01.2025 05:50,36,0.301,3.4
26.01.2025 05:40,36,0.301,3.4
26.01.2025 05:30,36,0.301,3.4
26.01.2025 05:20,36,0.301,3.4
26.01.2025 05:10,37,0.331,3.4
26.01.2025 05:00,36,0.301,3.4
26.01.2025 04:00,36,0.301,3.4
26.01.2025 03:00,37,0.331,3.4
26.01.2025 02:00,36,0.301,3.4
26.01.2025 01:00,36,0.301,3.4
26.01.2025 00:00,36,0.301,3.4
25.01.2025 23:00,36,0.301,3.4
25.01.2025 22:00,36,0.301,3.4
25.01.2025 21:00,36,0.301,3.4
25.01.2025 20:00,36,0.301,3.4
25.01.2025 19:00,36,0.301,3.4
25.01.2025 18:00,36,0.301,3.4
25.01.2025 17:00,36,0.301,3.4
25.01.2025 16:00,36,0.301,3.4
25.01.2025 15:00,36,0.301,3.4
25.01.2025 14:00,36,0.301,3.4
25.01.2025 13:00,36,0.301,3.3
25.01.2025 12:00,36,0.301,3.3
25.01.2025 11:00,36,0.301,3.2
25.01.2025 10:00,36,0.301,3.2
25.01.2025 09:00,36,0.301,3.2
25.01.2025 08:00,36,0.301,3.2
25.01.2025 07:00,36,0.301,3.2
25.01.2025 06:00,36,0.301,3.2
