Datum a čas,Stav [cm],Průtok [m3s-1],Teplota [°C]
06.01.2025 06:00,37,0.331,2.7
06.01.2025 05:50,36,0.301,2.7
06.01.2025 05:40,36,0.301,2.7
06.01.2025 05:30,36,0.301,2.7
06.01.2025 05:20,36,0.301,2.7
06.01.2025 05:10,36,0.301,2.7
06.01.2025 05:00,36,0.301,2.7
06.01.2025 04:00,36,0.301,2.7
06.01.2025 03:00,36,0.301,2.7
06.01.2025 02:00,36,0.301,2.7
06.01.2025 01:00,36,0.301,2.7
06.01.2025 00:00,36,0.301,2.7
05.01.2025 23:00,36,0.301,2.8
05.01.2025 22:00,36,0.301,2.8
05.01.2025 21:00,36,0.301,2.8
05.01.2025 20:00,35,0.273,2.8
05.01.2025 19:00,36,0.301,2.9
05.01.2025 18:00,35,0.273,2.8
05.01.2025 17:00,35,0.273,2.8
05.01.2025 16:00,35,0.273,2.8
05.01.2025 15:00,35,0.273,2.9
05.01.2025 14:00,35,0.273,2.9
05.01.2025 13:00,35,0.273,2.8
05.01.2025 12:00,35,0.273,2.8
05.01.2025 11:00,35,0.273,2.8
05.01.2025 10:00,35,0.273,2.8
05.01.2025 09:00,35,0.273,2.7
05.01.2025 08:00,35,0.273,2.7
05.01.2025 07:00,35,0.273,2.8
05.01.2025 06:00,35,0.273,2.7
