Datum a čas,Stav [cm],Průtok [m3s-1],Teplota [°C]
17.06.2024 07:10,25,0.0822,19.5
17.06.2024 07:00,25,0.0822,19.5
17.06.2024 06:50,25,0.0822,19.5
17.06.2024 06:40,25,0.0822,19.5
17.06.2024 06:30,25,0.0822,19.5
17.06.2024 06:20,25,0.0822,19.5
17.06.2024 06:10,25,0.0822,19.5
17.06.2024 06:00,25,0.0822,19.5
17.06.2024 05:00,25,0.0822,19.4
17.06.2024 04:00,25,0.0822,19.3
17.06.2024 03:00,25,0.0822,19.2
17.06.2024 02:00,25,0.0822,19
17.06.2024 01:00,25,0.0822,18.8
17.06.2024 00:00,25,0.0822,18.8
16.06.2024 23:00,34,0.252,18.8
16.06.2024 22:00,34,0.252,18.9
16.06.2024 21:00,34,0.252,19
16.06.2024 20:00,34,0.252,19.1
16.06.2024 19:00,34,0.252,19.2
16.06.2024 18:00,34,0.252,19.4
16.06.2024 17:00,34,0.252,19.7
16.06.2024 16:00,34,0.252,19.8
16.06.2024 15:00,26,0.0941,19.7
16.06.2024 14:00,26,0.0941,19.5
16.06.2024 13:00,26,0.0941,19.3
16.06.2024 12:00,26,0.0941,19.1
16.06.2024 11:00,26,0.0941,18.9
16.06.2024 10:00,26,0.0941,18.8
16.06.2024 09:00,26,0.0941,18.8
16.06.2024 08:00,26,0.0941,18.7
16.06.2024 07:00,26,0.0941,18.7
