Datum a čas,Stav [cm],Průtok [m3s-1],Teplota [°C]
30.03.2024 06:00,36,0.31,10.4
30.03.2024 05:50,36,0.31,10.4
30.03.2024 05:40,36,0.31,10.4
30.03.2024 05:30,36,0.31,10.4
30.03.2024 05:20,36,0.31,10.4
30.03.2024 05:10,36,0.31,10.4
30.03.2024 05:00,36,0.31,10.4
30.03.2024 04:00,36,0.31,10.4
30.03.2024 03:00,36,0.31,10.4
30.03.2024 02:00,36,0.31,10.4
30.03.2024 01:00,36,0.31,10.5
30.03.2024 00:00,36,0.31,10.5
29.03.2024 23:00,36,0.31,10.5
29.03.2024 22:00,36,0.31,10.5
29.03.2024 21:00,36,0.31,10.5
29.03.2024 20:00,36,0.31,10.5
29.03.2024 19:00,36,0.31,10.5
29.03.2024 18:00,36,0.31,10.4
29.03.2024 17:00,36,0.31,10.3
29.03.2024 16:00,36,0.31,10.2
29.03.2024 15:00,37,0.342,10.2
29.03.2024 14:00,37,0.342,10.1
29.03.2024 13:00,36,0.31,9.9
29.03.2024 12:00,37,0.342,9.8
29.03.2024 11:00,37,0.342,9.7
29.03.2024 10:00,37,0.342,9.6
29.03.2024 09:00,37,0.342,9.5
29.03.2024 08:00,20,0.0348,9.5
29.03.2024 07:00,36,0.31,9.5
29.03.2024 06:00,36,0.31,9.6
