Datum a čas,Stav [cm],Průtok [m3s-1],Teplota [°C]
16.02.2025 06:00,37,0.331,4.3
16.02.2025 05:50,37,0.331,4.3
16.02.2025 05:40,37,0.331,4.3
16.02.2025 05:30,37,0.331,4.3
16.02.2025 05:20,37,0.331,4.3
16.02.2025 05:10,37,0.331,4.3
16.02.2025 05:00,37,0.331,4.3
16.02.2025 04:00,37,0.331,4.3
16.02.2025 03:00,37,0.331,4.3
16.02.2025 02:00,37,0.331,4.3
16.02.2025 01:00,37,0.331,4.4
16.02.2025 00:00,37,0.331,4.4
15.02.2025 23:00,37,0.331,4.4
15.02.2025 22:00,38,0.362,4.4
15.02.2025 21:00,37,0.331,4.4
15.02.2025 20:00,38,0.362,4.4
15.02.2025 19:00,38,0.362,4.4
15.02.2025 18:00,38,0.362,4.5
15.02.2025 17:00,38,0.362,4.5
15.02.2025 16:00,38,0.362,4.5
15.02.2025 15:00,38,0.362,4.5
15.02.2025 14:00,38,0.362,4.4
15.02.2025 13:00,38,0.362,4.4
15.02.2025 12:00,38,0.362,4.4
15.02.2025 11:00,38,0.362,4.3
15.02.2025 10:00,39,0.396,4.2
15.02.2025 09:00,39,0.396,4.2
15.02.2025 08:00,39,0.396,4.2
15.02.2025 07:00,39,0.396,4.2
15.02.2025 06:00,39,0.396,4.2
