Datum a čas,Stav [cm],Průtok [m3s-1],Teplota [°C]
27.04.2024 07:00,26,0.0941,12.4
27.04.2024 06:50,26,0.0941,12.4
27.04.2024 06:40,26,0.0941,12.4
27.04.2024 06:30,26,0.0941,12.5
27.04.2024 06:20,26,0.0941,12.5
27.04.2024 06:10,26,0.0941,12.5
27.04.2024 06:00,26,0.0941,12.5
27.04.2024 05:00,26,0.0941,12.5
27.04.2024 04:00,26,0.0941,12.6
27.04.2024 03:00,26,0.0941,12.6
27.04.2024 02:00,26,0.0941,12.6
27.04.2024 01:00,26,0.0941,12.7
27.04.2024 00:00,26,0.0941,12.7
26.04.2024 23:00,26,0.0941,12.7
26.04.2024 22:00,26,0.0941,12.7
26.04.2024 21:00,26,0.0941,12.7
26.04.2024 20:00,26,0.0941,12.6
26.04.2024 19:00,26,0.0941,12.6
26.04.2024 18:00,26,0.0941,12.5
26.04.2024 17:00,26,0.0941,12.3
26.04.2024 16:00,26,0.0941,12
26.04.2024 15:00,26,0.0941,11.8
26.04.2024 14:00,26,0.0941,11.5
26.04.2024 13:00,26,0.0941,11.3
26.04.2024 12:00,27,0.107,11.1
26.04.2024 11:00,27,0.107,10.9
26.04.2024 10:00,27,0.107,10.8
26.04.2024 09:00,23,0.0608,10.8
26.04.2024 08:00,28,0.122,10.8
26.04.2024 07:00,27,0.107,10.9
