Datum a čas,Stav [cm],Průtok [m3s-1],Teplota [°C]
12.01.2025 06:00,39,0.396,2.8
12.01.2025 05:50,39,0.396,2.8
12.01.2025 05:40,39,0.396,2.8
12.01.2025 05:30,39,0.396,2.8
12.01.2025 05:20,39,0.396,2.8
12.01.2025 05:10,39,0.396,2.8
12.01.2025 05:00,39,0.396,2.8
12.01.2025 04:00,39,0.396,2.8
12.01.2025 03:00,39,0.396,2.8
12.01.2025 02:00,39,0.396,2.8
12.01.2025 01:00,39,0.396,2.8
12.01.2025 00:00,39,0.396,2.9
11.01.2025 23:00,39,0.396,2.9
11.01.2025 22:00,39,0.396,2.9
11.01.2025 21:00,39,0.396,2.9
11.01.2025 20:00,39,0.396,2.9
11.01.2025 19:00,39,0.396,3
11.01.2025 18:00,39,0.396,3
11.01.2025 17:00,39,0.396,3
11.01.2025 16:00,40,0.435,3.1
11.01.2025 15:00,40,0.435,3.1
11.01.2025 14:00,40,0.435,3.1
11.01.2025 13:00,39,0.396,3.1
11.01.2025 12:00,40,0.435,3.1
11.01.2025 11:00,40,0.435,3.1
11.01.2025 10:00,40,0.435,3
11.01.2025 09:00,40,0.435,3
11.01.2025 08:00,40,0.435,3
11.01.2025 07:00,40,0.435,3
11.01.2025 06:00,40,0.435,3
