Datum a čas,Stav [cm],Průtok [m3s-1],Teplota [°C]
15.02.2025 06:00,39,0.396,4.2
15.02.2025 05:50,39,0.396,4.2
15.02.2025 05:40,40,0.435,4.2
15.02.2025 05:30,39,0.396,4.2
15.02.2025 05:20,39,0.396,4.2
15.02.2025 05:10,39,0.396,4.2
15.02.2025 05:00,39,0.396,4.2
15.02.2025 04:00,40,0.435,4.2
15.02.2025 03:00,40,0.435,4.2
15.02.2025 02:00,40,0.435,4.2
15.02.2025 01:00,40,0.435,4.2
15.02.2025 00:00,40,0.435,4.2
14.02.2025 23:00,40,0.435,4.2
14.02.2025 22:00,41,0.478,4.3
14.02.2025 21:00,40,0.435,4.3
14.02.2025 20:00,41,0.478,4.3
14.02.2025 19:00,41,0.478,4.3
14.02.2025 18:00,41,0.478,4.3
14.02.2025 17:00,42,0.525,4.3
14.02.2025 16:00,42,0.525,4.3
14.02.2025 15:00,42,0.525,4.3
14.02.2025 14:00,42,0.525,4.3
14.02.2025 13:00,42,0.525,4.3
14.02.2025 12:00,43,0.576,4.2
14.02.2025 11:00,43,0.576,4.2
14.02.2025 10:00,43,0.576,4.2
14.02.2025 09:00,43,0.576,4.2
14.02.2025 08:00,44,0.632,4.2
14.02.2025 07:00,43,0.576,4.2
14.02.2025 06:00,43,0.576,4.1
