Datum a čas,Stav [cm],Průtok [m3s-1],Teplota [°C]
02.03.2025 06:00,36,0.301,4.5
02.03.2025 05:50,36,0.301,4.5
02.03.2025 05:40,36,0.301,4.5
02.03.2025 05:30,36,0.301,4.5
02.03.2025 05:20,36,0.301,4.5
02.03.2025 05:10,36,0.301,4.5
02.03.2025 05:00,36,0.301,4.5
02.03.2025 04:00,36,0.301,4.5
02.03.2025 03:00,36,0.301,4.5
02.03.2025 02:00,36,0.301,4.5
02.03.2025 01:00,36,0.301,4.5
02.03.2025 00:00,36,0.301,4.5
01.03.2025 23:00,36,0.301,4.5
01.03.2025 22:00,36,0.301,4.5
01.03.2025 21:00,36,0.301,4.5
01.03.2025 20:00,36,0.301,4.5
01.03.2025 19:00,36,0.301,4.5
01.03.2025 18:00,36,0.301,4.5
01.03.2025 17:00,36,0.301,4.5
01.03.2025 16:00,36,0.301,4.6
01.03.2025 15:00,36,0.301,4.6
01.03.2025 14:00,36,0.301,4.7
01.03.2025 13:00,36,0.301,4.8
01.03.2025 12:00,36,0.301,4.9
01.03.2025 11:00,36,0.301,4.9
01.03.2025 10:00,36,0.301,4.9
01.03.2025 09:00,36,0.301,4.8
01.03.2025 08:00,36,0.301,4.8
01.03.2025 07:00,36,0.301,4.8
01.03.2025 06:00,35,0.273,4.7
