Datum a čas,Stav [cm],Průtok [m3s-1],Teplota [°C]
02.09.2024 07:10,32,0.2,23.8
02.09.2024 07:00,32,0.2,23.8
02.09.2024 06:50,32,0.2,23.8
02.09.2024 06:40,32,0.2,23.8
02.09.2024 06:30,32,0.2,23.8
02.09.2024 06:20,32,0.2,23.9
02.09.2024 06:10,32,0.2,23.9
02.09.2024 06:00,32,0.2,23.9
02.09.2024 05:00,32,0.2,24
02.09.2024 04:00,32,0.2,24.1
02.09.2024 03:00,32,0.2,24.2
02.09.2024 02:00,32,0.2,24.4
02.09.2024 01:00,32,0.2,24.6
02.09.2024 00:00,32,0.2,24.8
01.09.2024 23:00,32,0.2,24.8
01.09.2024 22:00,32,0.2,24.8
01.09.2024 21:00,32,0.2,24.9
01.09.2024 20:00,32,0.2,25
01.09.2024 19:00,32,0.2,25.1
01.09.2024 18:00,32,0.2,25.2
01.09.2024 17:00,32,0.2,25.4
01.09.2024 16:00,32,0.2,25.7
01.09.2024 15:00,31,0.178,25.7
01.09.2024 14:00,32,0.2,25.6
01.09.2024 13:00,31,0.178,25.2
01.09.2024 12:00,31,0.178,24.9
01.09.2024 11:00,31,0.178,24.4
01.09.2024 10:00,31,0.178,24.1
01.09.2024 09:00,31,0.178,23.8
01.09.2024 08:00,32,0.2,23.8
01.09.2024 07:00,32,0.2,23.8
