Datum a čas,Stav [cm],Průtok [m3s-1],Teplota [°C]
03.06.2024 07:10,41,0.495,17
03.06.2024 07:00,41,0.495,17
03.06.2024 06:50,41,0.495,17
03.06.2024 06:40,41,0.495,17
03.06.2024 06:30,41,0.495,17
03.06.2024 06:20,41,0.495,17
03.06.2024 06:10,41,0.495,17
03.06.2024 06:00,41,0.495,17
03.06.2024 05:00,41,0.495,16.9
03.06.2024 04:00,41,0.495,16.9
03.06.2024 03:00,41,0.495,16.9
03.06.2024 02:00,41,0.495,16.9
03.06.2024 01:00,41,0.495,16.9
03.06.2024 00:00,41,0.495,16.9
02.06.2024 23:00,41,0.495,17
02.06.2024 22:00,41,0.495,17
02.06.2024 21:00,42,0.542,17
02.06.2024 20:00,42,0.542,16.9
02.06.2024 19:00,43,0.593,16.9
02.06.2024 18:00,43,0.593,16.9
02.06.2024 17:00,41,0.495,16.9
02.06.2024 16:00,41,0.495,16.9
02.06.2024 15:00,41,0.495,16.9
02.06.2024 14:00,41,0.495,16.9
02.06.2024 13:00,41,0.495,16.9
02.06.2024 12:00,41,0.495,16.9
02.06.2024 11:00,41,0.495,16.8
02.06.2024 10:00,41,0.495,16.8
02.06.2024 09:00,41,0.495,16.8
02.06.2024 08:00,41,0.495,16.8
02.06.2024 07:00,41,0.495,16.8
